method,n_fish,total_length,std_length,fork_length,fish_weight,age,catch_weight,catch_length_min,catch_length_max,spp_name_la,common_name_en,spp_name_lt,n_gears,mesh_size,gear_material,gear_type,gear_length,gear_height,tool_type,location,date_start,time_start,date_end,time_end,station,area,sex_lt,fisher,total_gear_length
1,1,47.5,38.5,,1352,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,47.5,38.5,,1315,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,47.5,39.2,,1348,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,39.3,31,,748,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,44.2,35.8,,1120,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,37.2,28.5,,480,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,40.3,31.5,,729,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,41.5,33.5,,777,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,42.5,33.5,,879,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,39,31,,710,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,36.5,29.5,,599,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,38,30.5,,657,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,40,32.5,,740,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,37,29.8,,624,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,40,31.8,,744,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,38.5,30.2,,611,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,35.8,28.2,,489,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,38.5,31.2,,782,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,41.7,33,,868,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,40.2,32.2,,773,,,,,Abramis brama,Bream,Karsis,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,39.2,32.5,,1147,,,,,Carassius gibelio,Prussian carp,Sidabrinis karosas,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,70,62,,2885,,,,,Esox lucius,Pike,Lydeka,2,70,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,,Rimas Repecka,60
1,1,27.3,23.5,,305,,,,,Perca fluviatilis,Perch,Eserys,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,,Rimas Repecka,60
1,1,49.2,42,,994,,,,,Alosa fallax,Twaite shad,Perpele,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,40.5,34.5,,650,,,,,Alosa fallax,Twaite shad,Perpele,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,65,57.5,,2304,,,,,Esox lucius,Pike,Lydeka,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,,Rimas Repecka,60
1,1,35.5,27.5,,442,,,,,Abramis brama,Bream,Karsis,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,40.5,32.5,,737,,,,,Abramis brama,Bream,Karsis,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,44,35.5,,941,,,,,Abramis brama,Bream,Karsis,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,25.3,20.2,,189,,,,,Abramis brama,Bream,Karsis,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,jauniklis,Rimas Repecka,60
1,1,27.5,22.5,,285,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,30,24.3,,328,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,28.5,23.5,,310,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,30.5,25,,334,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,29.5,24.5,,312,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,31.5,25.5,,412,10,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,29.5,24,,324,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,28.8,23.5,,338,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,31.2,26,,482,11,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,26.3,21.3,,237,8,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,32.7,27,,458,10,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,28.3,23.8,,333,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,28.5,23.5,,300,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,33,27.5,,422,10,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,30,25,,333,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,29.3,24,,285,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,27.2,22.2,,214,8,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,29.3,24.2,,302,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,27.5,23,,252,8,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,30.5,25.8,,365,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,32,26.2,,440,10,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,31.2,26.1,,377,10,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,27.5,22.8,,297,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,28.5,23.7,,300,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,28.2,23.2,,310,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,28.5,23.7,,277,8,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,29,24,,288,9,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,31.5,26.2,,379,10,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,23.5,19.8,,136,6,,,,Rutilus rutilus,Roach,Kuoja,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patinas,Rimas Repecka,60
1,1,25.7,21,,241,,,,,Blicca bjoerkna,White bream,Plakis,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
1,1,26.2,20.8,,223,,,,,Blicca bjoerkna,White bream,Plakis,2,45,capron,nereminis,30,1.8,Tinklas,"Vente, laboratorija, 24 b.",14/05/2007,14:00:00,14/05/2007,21:00:00,1,Kursiu marios,patele,Rimas Repecka,60
