date_start,time_start,date_end,time_end,area,location,spp_name_la,common_name_en,spp_name_lt,total_length,std_length,fork_length,fish_weight,gonad_stage,age,sex_lt,sex_en,fat_weight,exclude_from_weight_est,gut_fullness,n_fish,catch_weight,catch_weight_min,catch_weight_max,catch_length_min,catch_length_max,tool_type,total_gear_length,total_gear_length_broad,mesh_size,mesh_size_broad,soak_time,soak_time_broad,depth,method
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,28.3,23.5,NA,303,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,40,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,29,23.7,NA,313,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,40,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,28.8,24,NA,293,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,40,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,24.2,19.2,NA,173,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,40,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,23.5,18.6,NA,154,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,40,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Abramis brama,Bream,Karsis,37.5,30.5,NA,683,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,70,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Sander lucioperca,Pike-perch,Starkis,24.1,20.7,NA,106,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,50,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Platichthys flesus,Flounder,Upine pleksne,20.8,17.5,NA,113,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,30,short,50,big,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Sander lucioperca,Pike-perch,Starkis,25.3,21.5,NA,121,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Sander lucioperca,Pike-perch,Starkis,21,17.5,NA,67,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,15.5,12.9,NA,43,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Gymnocephalus cernuus,Ruff,Pugzlys,14.7,12.3,NA,38,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Gymnocephalus cernuus,Ruff,Pugzlys,12.2,9.8,NA,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,15,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,2
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,15.2,12.5,NA,41,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,16.5,14.1,NA,53,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,15.6,12.6,NA,38,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,12.1,9.3,NA,15,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Alburnus alburnus,Bleak,Auksle,16.6,14.1,NA,36,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Gymnocephalus cernuus,Ruff,Pugzlys,14.2,11.8,NA,32,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Gymnocephalus cernuus,Ruff,Pugzlys,12.7,10.6,NA,24,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Gymnocephalus cernuus,Ruff,Pugzlys,13.5,11.4,NA,29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,28.2,23.3,NA,304,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,22.5,18.4,NA,126,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Vimba vimba,Vimba,Ziobris,24.2,20,NA,138,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Vimba vimba,Vimba,Ziobris,25.7,20.8,NA,169,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Vimba vimba,Vimba,Ziobris,27.2,22.5,NA,187,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,22.8,18,NA,128,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,22.4,17.8,NA,158,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,19.3,15.5,NA,91,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,20.8,17.5,NA,115,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Platichthys flesus,Flounder,Upine pleksne,15.6,13,NA,37,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,30,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,20,16.8,NA,109,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,19,16.1,NA,86,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,19.6,16.7,NA,99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,17.9,15.1,NA,66,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,18.3,15.7,NA,75,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,18.1,15.5,NA,70,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,21.2,18.3,NA,130,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,18.7,16,NA,89,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,18.1,15.5,NA,75,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,17.2,14.5,NA,61,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,19.2,16.1,NA,94,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Perca fluviatilis,Perch,Eserys,17.2,14.5,NA,60,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,22,17.2,NA,111,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,18.5,14.7,NA,78,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,18.5,15.2,NA,75,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Blicca bjoerkna,White bream,Plakis,18.2,15,NA,71,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Sander lucioperca,Pike-perch,Starkis,24.2,20.5,NA,109,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Sander lucioperca,Pike-perch,Starkis,24.5,20.7,NA,119,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,20,16.5,NA,93,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,18.1,15,NA,62,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17.5,14.5,NA,61,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,16.7,13.8,NA,53,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,17.4,14.5,NA,60,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,18.6,15,NA,76,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,19.1,16,NA,71,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Vimba vimba,Vimba,Ziobris,24,19.8,NA,128,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Vimba vimba,Vimba,Ziobris,26.3,22.1,NA,157,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,15,very short,25,small,NA,medium,NA,1
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1208,NA,NA,NA,NA,Tinklas,15,very short,22,small,NA,medium,NA,3
2007-07-23,NA,2007-07-24,NA,Kursiu marios,"Drevernos monitoringas, 18 b.",Rutilus rutilus,Roach,Kuoja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,433,NA,NA,NA,NA,Tinklas,15,very short,17,small,NA,medium,NA,3
